source	target	pvalue	threshold
MIRAGE II/DANIELLE MOONSTAR 	WOLFSBANE/RAHNE SINCLAIR	6.1292577288892204e-186	5.186059149811737e-08
JAMESON, J. JONAH	PARKER, MAY	2.743191916616529e-185	5.233637674121936e-08
FRENCHIE/JEAN-PAUL DUCHAMP	MOON KNIGHT/MARC SPECTOR/STEVEN GRANT/JAKE LOCKLEY	5.041989923110853e-184	5.2812161984321356e-08
CAGE, LUKE/CARL LUCAS	IRON FIST/DANIEL RAND	1.1018426423075992e-183	5.328794722742335e-08
CYCLOPS/SCOTT SUMMERS 	WOLVERINE/LOGAN 	3.911222247057976e-183	5.3763732470525345e-08
SIF	VOLSTAGG	4.070935923744647e-181	5.4239517713627345e-08
FALCON/SAM WILSON	REDWING	7.010024090811722e-181	5.471530295672934e-08
HUMAN TORCH/JOHNNY STORM 	RICHARDS, FRANKLIN BENJAMIN	2.24466633551923e-180	5.519108819983132e-08
ANT-MAN/DR. HENRY J. PYM	VISION 	4.852904930028717e-179	5.5666873442933315e-08
HUDSON, HEATHER	SASQUATCH/WALTER LANGKOWSKI	3.123832134450519e-178	5.614265868603531e-08
ANT-MAN/DR. HENRY J. PYM	SCARLET WITCH/WANDA MAXIMOFF	4.9080376526017895e-178	5.6618443929137303e-08
ROSS, GEN. THADDEUS E. THUNDERBOLT	TALBOT, GLENN	4.744609335408401e-177	5.70942291722393e-08
NIGHTHAWK II/KYLE RICHMOND	NORRISS, SISTER BARBARA DENTON	1.0184923642668577e-176	5.757001441534129e-08
SHANG-CHI	WU, LEIKO	1.0340962313937092e-176	5.8045799658443286e-08
HAWK	WONDER MAN/SIMON WILLIAMS 	1.7489282860484156e-175	5.852158490154528e-08
BOX IV/MADISON JEFFRIES	HUDSON, HEATHER	3.7966104495454767e-175	5.8997370144647275e-08
MASTERS, ALICIA REISS	THING/BENJAMIN J. GRIMM 	1.0567671843122776e-173	5.947315538774927e-08
CHAMBER/JONOTHON STARSMORE	SKIN/ANGELO ESPINOSA	5.539858356422594e-173	5.994894063085126e-08
BLACK BOLT/BLACKANTOR BOLTAGON [INHUMAN]	TRITON	3.715412434389692e-172	6.042472587395326e-08
GORGON [INHUMAN]	TRITON	1.137490233283858e-171	6.090051111705525e-08
THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	VOLSTAGG	1.699140820063622e-171	6.137629636015725e-08
HAWK	MOCKINGBIRD/DR. BARBARA BOBBI MORSE/HUNTRESS	6.269308901526903e-171	6.185208160325924e-08
RESTON, CLIVE	SHANG-CHI	3.1135549534444625e-170	6.232786684636124e-08
KARNAK [INHUMAN]	TRITON	3.609964058681482e-170	6.280365208946323e-08
PROFESSOR X/CHARLES FRANCIS XAVIER 	WOLVERINE/LOGAN 	1.335044671769993e-169	6.327943733256523e-08
SUNSPOT/ROBERTO DACOSTA 	WARLOCK III	1.906244083596234e-169	6.375522257566722e-08
FANDRAL [ASGARDIAN]	THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	4.740009535033447e-169	6.423100781876922e-08
HOGUN [ASGARDIAN]	THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	4.740009535033447e-169	6.470679306187122e-08
SHANG-CHI	SMITH, SIR DENIS NAYLAND	4.39763976006832e-168	6.518257830497321e-08
HOGUN [ASGARDIAN]	ODIN [ASGARDIAN]	3.2896184232054945e-166	6.565836354807521e-08
RESTON, CLIVE	TARR, BLACK JACK	3.8073294830181565e-166	6.61341487911772e-08
KNIGHT, MISTY	WING, COLLEEN	5.1287578653027385e-166	6.66099340342792e-08
JAMESON, J. JONAH	WATSON-PARKER, MARY JANE	1.3882340772099018e-165	6.708571927738117e-08
OSBORN, HARRY	SPIDER-MAN/PETER PARKER	1.4314280172442908e-165	6.756150452048317e-08
RICHARDS, FRANKLIN BENJAMIN	THING/BENJAMIN J. GRIMM 	1.5811333516724747e-165	6.803728976358516e-08
IRON MAN/TONY STARK 	WONDER MAN/SIMON WILLIAMS 	2.7897314194223576e-165	6.851307500668716e-08
MEGGAN	SHADOWCAT/KATHERINE KITTY PRYDE 	8.679861564913312e-165	6.898886024978915e-08
ANT-MAN/DR. HENRY J. PYM	WONDER MAN/SIMON WILLIAMS 	1.0949368154198282e-164	6.946464549289115e-08
IRON MAN/TONY STARK 	WASP/JANET VAN DYNE PYM	1.178275195727199e-164	6.994043073599315e-08
ODIN [ASGARDIAN]	VOLSTAGG	1.3060369745937224e-164	7.041621597909514e-08
RESTON, CLIVE	WU, LEIKO	1.5469846801156256e-164	7.089200122219714e-08
FANDRAL [ASGARDIAN]	ODIN [ASGARDIAN]	3.042138052359633e-164	7.136778646529913e-08
SMITH, SIR DENIS NAYLAND	TARR, BLACK JACK	1.620545525774584e-163	7.184357170840113e-08
BOOMER/TABITHA SMITH	CANNONBALL II/SAM GUTHRIE 	2.8521333534454264e-162	7.231935695150311e-08
HUSK/PAIGE GUTHRIE	SKIN/ANGELO ESPINOSA	5.900041071137951e-161	7.279514219460511e-08
COLOSSUS II/PETER RASPUTIN 	CYCLOPS/SCOTT SUMMERS 	5.990173384902684e-161	7.32709274377071e-08
BOOMER/TABITHA SMITH	SUNSPOT/ROBERTO DACOSTA 	7.72551221067478e-161	7.37467126808091e-08
ALRAUNE, MARLENE	MOON KNIGHT/MARC SPECTOR/STEVEN GRANT/JAKE LOCKLEY	1.1585072964941493e-160	7.422249792391109e-08
NELSON, FRANKLIN FOGGY	PAGE, KAREN	1.2293732997277134e-160	7.469828316701309e-08
CAPTAIN AMERICA	HAWK	4.764916248624224e-160	7.517406841011508e-08
ANT-MAN/DR. HENRY J. PYM	IRON MAN/TONY STARK 	2.13756734563523e-159	7.564985365321708e-08
HUSK/PAIGE GUTHRIE	SYNCH/EVERETT THOMAS	9.139378962291745e-158	7.612563889631907e-08
CAPTAIN AMERICA	IRON MAN/TONY STARK 	2.3924467472652304e-157	7.660142413942107e-08
HUDSON, HEATHER	NORTHSTAR/JEAN-PAUL BAUBIER	2.5996380227902256e-157	7.707720938252306e-08
SKIN/ANGELO ESPINOSA	SYNCH/EVERETT THOMAS	5.2205017694389476e-157	7.755299462562506e-08
LEEDS, BETTY BRANT	THOMPSON, EUGENE FLASH	1.0951640932575864e-156	7.802877986872705e-08
TARR, BLACK JACK	WU, LEIKO	1.2859068315997954e-156	7.850456511182905e-08
NIGHTCRAWLER/KURT WAGNER 	PROFESSOR X/CHARLES FRANCIS XAVIER 	1.9143153886047901e-156	7.898035035493105e-08
MEGGAN	NIGHTCRAWLER/KURT WAGNER 	3.0862243725442494e-156	7.945613559803302e-08
NORTHSTAR/JEAN-PAUL BAUBIER	PUCK/EUGENE MILTON JUDD	1.2332685584580952e-155	7.993192084113502e-08
ROM, SPACEKNIGHT	STARSHINE II/BRANDY CLARK	2.30810773567178e-155	8.040770608423701e-08
CHAMBER/JONOTHON STARSMORE	HUSK/PAIGE GUTHRIE	3.608789002321012e-154	8.088349132733901e-08
CAPTAIN AMERICA	FALCON/SAM WILSON	2.715891193918358e-153	8.1359276570441e-08
WARLOCK III	WOLFSBANE/RAHNE SINCLAIR	4.217161872649518e-153	8.1835061813543e-08
CHAMBER/JONOTHON STARSMORE	PENANCE/MONET ST. CROIX	9.293315623605912e-153	8.231084705664499e-08
HAWK	IRON MAN/TONY STARK 	1.3992292430084918e-151	8.278663229974699e-08
LOKI [ASGARDIAN]	ODIN [ASGARDIAN]	1.795717598795597e-151	8.326241754284898e-08
LOKI [ASGARDIAN]	THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	3.238024396440524e-150	8.373820278595098e-08
LOCKHEED	SHADOWCAT/KATHERINE KITTY PRYDE 	5.945343394330584e-150	8.421398802905296e-08
PSYLOCKE/ELISABETH BETSY BRADDOCK 	WOLVERINE/LOGAN 	7.227237337802129e-150	8.468977327215496e-08
PARKER, MAY	WATSON-PARKER, MARY JANE	1.34368069450739e-149	8.516555851525697e-08
WASP/JANET VAN DYNE PYM	WONDER MAN/SIMON WILLIAMS 	2.257585315042212e-149	8.564134375835895e-08
MEDUSA/MEDUSALITH AMAQUELIN [INHUMAN]	TRITON	4.686025939990004e-149	8.611712900146095e-08
BANNER, BETTY ROSS TALBOT	TALBOT, GLENN	9.35935888605247e-149	8.659291424456294e-08
ROBERTSON, JOE	WATSON-PARKER, MARY JANE	3.961012255520339e-148	8.706869948766494e-08
GAMBIT/REMY LEBEAU 	ROGUE /	5.3922790930270134e-148	8.754448473076693e-08
CANNONBALL II/SAM GUTHRIE 	WARLOCK III	3.2224467777026994e-147	8.802026997386893e-08
IRON MAN IV/JAMES R. JIM RHODEY RHODES	IRON MAN/TONY STARK 	5.966653080300496e-147	8.849605521697092e-08
ANGEL/WARREN KENNETH WORTHINGTON III 	PROFESSOR X/CHARLES FRANCIS XAVIER 	5.977318069868944e-147	8.897184046007292e-08
HULK/DR. ROBERT BRUCE BANNER 	TALBOT, GLENN	8.329012268338275e-147	8.944762570317491e-08
CHAMBER/JONOTHON STARSMORE	SYNCH/EVERETT THOMAS	4.718699908657861e-146	8.992341094627691e-08
BOOMER/TABITHA SMITH	RICTOR/JULIO ESTEBAN RICHTER	1.4416466712415731e-145	9.03991961893789e-08
MICROCHIP/LINUS LIEBERMAN   /BART   	PUNISHER II/FRANK CASTIGLIONE/FRANK CASTLE	2.047478026901775e-145	9.08749814324809e-08
AURORA/JEANNE-MARIE BAUBIER	HUDSON, HEATHER	6.460887641448576e-145	9.135076667558288e-08
HUDSON, HEATHER	SHAMAN/MICHAEL TWOYOUNGMAN	3.3233829852380114e-144	9.182655191868487e-08
HEIMDALL [ASGARDIAN]	ODIN [ASGARDIAN]	5.642293100965609e-144	9.230233716178687e-08
PENANCE/MONET ST. CROIX	SKIN/ANGELO ESPINOSA	6.877078564759811e-144	9.277812240488886e-08
ANT-MAN/DR. HENRY J. PYM	CAPTAIN AMERICA	4.52630782084483e-143	9.325390764799086e-08
AURORA/JEANNE-MARIE BAUBIER	PUCK/EUGENE MILTON JUDD	4.502446811201516e-142	9.372969289109285e-08
CAPTAIN AMERICA	THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	1.3132205083031922e-141	9.420547813419485e-08
JARVIS, EDWIN 	VISION 	1.3076653156683237e-140	9.468126337729684e-08
CAPTAIN AMERICA	JARVIS, EDWIN 	8.631121331482392e-140	9.515704862039884e-08
LOCKHEED	NIGHTCRAWLER/KURT WAGNER 	1.1002342111647977e-139	9.563283386350084e-08
JUBILEE/JUBILATION LEE 	SKIN/ANGELO ESPINOSA	8.493111317251863e-139	9.610861910660283e-08
ICEMAN/ROBERT BOBBY DRAKE	PROFESSOR X/CHARLES FRANCIS XAVIER 	9.874902283551499e-138	9.658440434970483e-08
HEIMDALL [ASGARDIAN]	HOGUN [ASGARDIAN]	1.1824063842516135e-136	9.706018959280682e-08
BANNER, BETTY ROSS TALBOT	JONES, RICHARD MILHOUSE RICK	1.509935143089215e-135	9.75359748359088e-08
MIRAGE II/DANIELLE MOONSTAR 	WARLOCK III	2.5633392083425134e-135	9.80117600790108e-08
THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	VISION 	1.3017965014539228e-134	9.848754532211279e-08
FANDRAL [ASGARDIAN]	HEIMDALL [ASGARDIAN]	1.9910455137021274e-134	9.896333056521479e-08
LEECH	MADDICKS, ARTHUR ARTIE	3.281041824417365e-134	9.943911580831678e-08
CHAMBER/JONOTHON STARSMORE	JUBILEE/JUBILATION LEE 	1.2494315402998108e-133	9.991490105141878e-08
MAGIK/ILLYANA RASPUTINA	MIRAGE II/DANIELLE MOONSTAR 	2.693073277030948e-133	1.0039068629452077e-07
CLEA	WONG	3.734408321393652e-133	1.0086647153762277e-07
RESTON, CLIVE	SMITH, SIR DENIS NAYLAND	8.291357803754454e-133	1.0134225678072476e-07
CANNONBALL II/SAM GUTHRIE 	THUNDERBIRD II/JAMES PROUDSTAR	9.78581364803684e-133	1.0181804202382676e-07
JAMESON, J. JONAH	THOMPSON, EUGENE FLASH	1.2993501062724883e-132	1.0229382726692875e-07
ALRAUNE, MARLENE	FRENCHIE/JEAN-PAUL DUCHAMP	5.73080711693739e-132	1.0276961251003075e-07
PSYLOCKE/ELISABETH BETSY BRADDOCK 	STORM/ORORO MUNROE Subscribe!	1.1209674282281079e-131	1.0324539775313273e-07
SIRYN/THERESA ROURKE CASSIDY	THUNDERBIRD II/JAMES PROUDSTAR	2.0497508054434547e-131	1.0372118299623473e-07
LIGHTSPEED/JULIE POWER	POWER, DR. JIM	1.1009064649077416e-130	1.0419696823933672e-07
COUNTERWEIGHT/JACK POWER	POWER, DR. JIM	1.1009064649077416e-130	1.0467275348243872e-07
HUSK/PAIGE GUTHRIE	JUBILEE/JUBILATION LEE 	1.4441292726347174e-130	1.0514853872554071e-07
SHADOWCAT/KATHERINE KITTY PRYDE 	STORM/ORORO MUNROE Subscribe!	1.6693075040787922e-130	1.0562432396864271e-07
BALDER [ASGARDIAN]	KARNILLA [ASGARDIAN]	2.7266777508845106e-130	1.061001092117447e-07
COUNTERWEIGHT II/KATIE POWER	POWER, DR. JIM	9.247317096644923e-130	1.065758944548467e-07
IRON MAN/TONY STARK 	THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	9.90754900991121e-130	1.0705167969794869e-07
KA-ZAR/KEVIN PLUNDER	SHANNA/SHANNA O'HARA PLUNDER	2.5019541564630457e-128	1.0752746494105069e-07
AURORA/JEANNE-MARIE BAUBIER	SASQUATCH/WALTER LANGKOWSKI	8.060924035903654e-128	1.0800325018415268e-07
SKIN/ANGELO ESPINOSA	WHITE QUEEN/EMMA FROST	1.2186759333646983e-127	1.0847903542725469e-07
NORTHSTAR/JEAN-PAUL BAUBIER	SASQUATCH/WALTER LANGKOWSKI	1.5428063188932865e-127	1.0895482067035667e-07
DUGAN, TIMOTHY ALOYISIOUS DUM DUM	JONES, GABE	2.109266127324097e-127	1.0943060591345868e-07
NIGHT THRASHER/DUANE TAYLOR	NOVA/RICHARD RIDER	3.3299040831020866e-127	1.0990639115656065e-07
BALDER [ASGARDIAN]	LOKI [ASGARDIAN]	1.6779320384130884e-126	1.1038217639966264e-07
HUSK/PAIGE GUTHRIE	PENANCE/MONET ST. CROIX	6.699900853940655e-126	1.1085796164276464e-07
SCARLET WITCH/WANDA MAXIMOFF	THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	1.0604739682865952e-125	1.1133374688586663e-07
BLACK WIDOW/NATASHA ROMANOVA	HERCULES [GREEK GOD]	1.454276499937438e-125	1.1180953212896863e-07
HUSK/PAIGE GUTHRIE	WHITE QUEEN/EMMA FROST	1.9020002458468583e-125	1.1228531737207062e-07
CHAMBER/JONOTHON STARSMORE	WHITE QUEEN/EMMA FROST	1.9020002458468583e-125	1.1276110261517262e-07
MAGIK/ILLYANA RASPUTINA	WOLFSBANE/RAHNE SINCLAIR	1.9929667956114313e-125	1.1323688785827461e-07
